Date,Open,High,Low,Close,Adj Close,Volume
2020-01-24,9.764608,10.168608,9.238390,9.949500,9.949500,38284099
2020-01-25,9.942189,10.279747,9.649365,10.095989,10.095989,38451489
2020-01-26,10.094561,12.020427,9.885732,11.250531,11.250531,65288710
2020-01-27,11.248641,12.778558,11.219171,12.042684,12.042684,90397398
2020-01-28,12.047442,12.519509,11.278227,11.715779,11.715779,60239958
2020-01-29,11.711155,12.076831,11.449303,11.552556,11.552556,43319168
2020-01-30,11.546389,11.878914,11.316576,11.699867,11.699867,35532575
2020-01-31,11.701883,11.736616,10.931989,11.152504,11.152504,37545495
2020-02-01,11.155284,11.463701,11.114611,11.160432,11.160432,41322344
2020-02-02,11.165642,11.405063,10.895442,11.043750,11.043750,35070435
2020-02-03,11.043750,11.937387,10.810116,11.861304,11.861304,40898960
2020-02-04,11.862279,12.136690,10.905103,11.134065,11.134065,36340198
2020-02-05,11.134184,12.064626,11.034644,11.738981,11.738981,58191930
2020-02-06,11.740379,11.815892,11.416084,11.479773,11.479773,43590159
2020-02-07,11.475438,11.712142,11.383384,11.490005,11.490005,42394320
2020-02-08,11.494357,13.449918,11.008516,12.310834,12.310834,96603344
2020-02-09,12.316806,14.013436,12.278993,13.227097,13.227097,113003653
2020-02-10,13.233620,14.196472,12.628151,13.541877,13.541877,81933043
2020-02-11,13.533539,14.046730,12.958201,13.657502,13.657502,98391787
2020-02-12,13.670847,14.019252,13.235352,13.415005,13.415005,114094117
2020-02-13,13.451485,13.684208,12.638857,12.733912,12.733912,63511595
2020-02-14,12.726457,13.071148,12.626259,13.028320,13.028320,43670943
2020-02-15,13.028320,13.046462,11.374222,11.597219,11.597219,39141134
2020-02-16,11.593930,11.835574,9.822831,11.171638,11.171638,38978588
2020-02-17,11.163739,11.221684,9.963072,10.968025,10.968025,41521741
2020-02-18,10.971060,11.251899,10.571670,11.177512,11.177512,36456544
2020-02-19,11.184804,11.199777,10.154192,10.196919,10.196919,29933966
2020-02-20,10.178251,10.355196,9.917208,10.274371,10.274371,27997409
2020-02-21,10.273696,10.548584,10.180776,10.392720,10.392720,25807082
2020-02-22,10.391409,10.448774,10.061466,10.172693,10.172693,22294906
2020-02-23,10.173404,10.548586,10.152525,10.491748,10.491748,23022804
2020-02-24,10.501666,10.590364,9.793878,9.876216,9.876216,26912910
2020-02-25,9.876504,9.910194,9.094250,9.153269,9.153269,24083423
2020-02-26,9.153419,9.159033,7.853944,8.197970,8.197970,25482052
2020-02-27,8.180223,8.548495,7.681731,8.225391,8.225391,28045527
2020-02-28,8.225857,8.576732,8.078885,8.268909,8.268909,23478109
2020-02-29,8.269208,8.487978,8.172266,8.239217,8.239217,20333383
2020-03-01,8.233850,9.652976,8.231341,9.113786,9.113786,41063360
2020-03-02,9.112513,10.200929,9.062696,10.014467,10.014467,31894895
2020-03-03,10.013895,10.112980,9.673878,9.973111,9.973111,22554735
2020-03-04,9.964056,10.568410,9.898746,10.462512,10.462512,32468614
2020-03-05,10.460454,12.158543,10.460454,12.032152,12.032152,56489252
2020-03-06,12.038508,12.098242,11.502498,11.706757,11.706757,37742345
2020-03-07,11.715794,11.757417,10.850293,10.983177,10.983177,30015433
2020-03-08,10.989978,11.071986,9.152893,9.175166,9.175166,30227374
2020-03-09,9.170441,9.430096,8.726458,9.430096,9.430096,31238754
2020-03-10,9.458610,9.747840,9.174095,9.589724,9.589724,34332492
2020-03-11,9.583361,9.622626,8.774831,9.143673,9.143673,31194052
2020-03-12,9.150419,9.161107,5.299440,5.304843,5.304843,19470586
2020-03-13,5.296458,6.863768,4.313806,6.558450,6.558450,31521533
2020-03-14,6.568056,6.732837,6.078942,6.145079,6.145079,18041373
2020-03-15,6.141199,7.203375,6.080523,6.566994,6.566994,16959901
2020-03-16,6.559340,6.702087,5.578651,5.920828,5.920828,18868060
2020-03-17,5.923398,6.328340,5.891622,6.136852,6.136852,19509181
2020-03-18,6.131570,6.315087,5.907998,6.217075,6.217075,20466190
2020-03-19,6.213814,7.713350,6.121564,7.544369,7.544369,30975236
2020-03-20,7.537515,8.449794,6.881870,7.456141,7.456141,35713589
2020-03-21,7.453938,7.816863,7.192914,7.655885,7.655885,28568599
2020-03-22,7.657338,7.925202,6.830675,6.859200,6.859200,21702813
2020-03-23,6.859200,7.566921,6.664099,7.468723,7.468723,24587309
2020-03-24,7.468663,7.796684,7.321551,7.702221,7.702221,26034455
2020-03-25,7.701306,7.741436,7.386113,7.506197,7.506197,22093724
2020-03-26,7.506197,7.678386,7.436754,7.654154,7.654154,19307372
2020-03-27,7.653988,8.131731,7.388937,7.396192,7.396192,18563824
2020-03-28,7.410850,7.410850,6.878004,7.078514,7.078514,20096081
2020-03-29,7.078719,7.089677,6.647872,6.649894,6.649894,18237215
2020-03-30,6.633483,7.366833,6.612899,7.236454,7.236454,21341560
2020-03-31,7.224003,7.288126,7.092691,7.215753,7.215753,19385470
2020-04-01,7.215753,7.298955,6.895839,7.298955,7.298955,18910171
2020-04-02,7.293466,7.724076,7.249121,7.441458,7.441458,21342301
2020-04-03,7.456188,7.726232,7.224548,7.378683,7.378683,18878887
2020-04-04,7.378683,7.485435,7.274091,7.385195,7.385195,16279025
2020-04-05,7.387069,7.399391,7.162414,7.284101,7.284101,14651631
2020-04-06,7.283463,7.895525,7.264898,7.895525,7.895525,18666977
2020-04-07,7.902616,8.169986,7.750844,7.762410,7.762410,19846059
2020-04-08,7.762370,9.299553,7.700977,9.299553,9.299553,34714008
2020-04-09,9.334610,10.217998,9.217771,9.712424,9.712424,47331744
2020-04-10,9.718416,9.930497,8.628767,8.972660,8.972660,47703466
2020-04-11,8.972660,9.985260,8.964993,9.777995,9.777995,56406058
2020-04-12,9.774410,10.491815,9.771118,10.238799,10.238799,62970778
2020-04-13,10.219187,10.219496,9.608803,9.898343,9.898343,56645981
2020-04-14,9.901529,10.135910,9.743430,9.856836,9.856836,38053291
2020-04-15,9.853726,10.049046,9.457284,9.459183,9.459183,43189149
2020-04-16,9.459236,9.901199,8.929068,9.883687,9.883687,47370843
2020-04-17,9.895587,10.247610,9.800542,9.999145,9.999145,67120506
2020-04-18,10.006450,10.104214,9.852714,10.034110,10.034110,46503056
2020-04-19,10.033173,10.033377,9.759542,9.807024,9.807024,47963403
2020-04-20,9.803195,9.804877,8.941721,8.948998,8.948998,49250458
2020-04-21,8.949578,9.042764,8.729246,8.943030,8.943030,42171676
2020-04-22,8.936764,9.152982,8.889205,9.066319,9.066319,37663643
2020-04-23,9.064639,9.454925,9.040558,9.365456,9.365456,46957109
2020-04-24,9.363918,9.497525,9.315831,9.449628,9.449628,42879050
2020-04-25,9.446853,9.531303,9.380886,9.441352,9.441352,37812713
2020-04-26,9.450822,9.718726,9.325900,9.707437,9.707437,40543370
2020-04-27,9.714677,9.775496,9.235367,9.472768,9.472768,45806004
2020-04-28,9.470448,9.470448,9.269870,9.420100,9.420100,44799222
2020-04-29,9.419971,10.281296,9.409496,10.083682,10.083682,53792092
2020-04-30,10.076218,11.027967,9.877507,9.902880,9.902880,73316045
2020-05-01,9.902880,10.364219,9.886551,10.261266,10.261266,50535226
2020-05-02,10.257385,10.318227,9.936857,10.210896,10.210896,46015197
2020-05-03,10.212801,10.525593,9.842870,9.930202,9.930202,46083579
2020-05-04,9.933292,9.959456,9.361852,9.826598,9.826598,45635910
2020-05-05,9.830435,9.939557,9.667242,9.741138,9.741138,44016781
2020-05-06,9.732633,9.887712,9.686418,9.734447,9.734447,48348629
2020-05-07,9.729955,9.997776,9.564490,9.932413,9.932413,45955133
2020-05-08,9.928448,10.107351,9.740252,9.978869,9.978869,45434125
2020-05-09,9.968867,10.232748,9.815864,9.860095,9.860095,47091414
2020-05-10,9.859887,9.859887,8.518633,8.921424,8.921424,36166663
2020-05-11,8.937696,8.950676,8.461511,8.700871,8.700871,43529991
2020-05-12,8.700325,8.962804,8.680329,8.827757,8.827757,40039703
2020-05-13,8.821609,9.083881,8.821609,9.073427,9.073427,38456439
2020-05-14,9.065958,9.277541,9.039351,9.181479,9.181479,42627173
2020-05-15,9.183591,9.207329,8.891286,8.928352,8.928352,44135691
2020-05-16,8.922839,9.152987,8.862865,9.022616,9.022616,41189246
2020-05-17,9.020160,9.251539,9.007124,9.065153,9.065153,42139067
2020-05-18,9.058969,9.546462,9.057089,9.318289,9.318289,43846298
2020-05-19,9.316516,9.335680,9.050080,9.138989,9.138989,43942156
2020-05-20,9.135249,9.275124,8.940403,8.967445,8.967445,47075370
2020-05-21,8.965288,9.174562,8.482430,8.588945,8.588945,47038701
2020-05-22,8.591526,8.992675,8.473541,8.956409,8.956409,45190225
2020-05-23,8.953238,9.152530,8.767227,8.854528,8.854528,39764066
2020-05-24,8.853840,9.219764,8.512244,8.528793,8.528793,41850305
2020-05-25,8.524266,9.086599,8.441569,8.953816,8.953816,42873754
2020-05-26,8.953229,8.991014,8.570022,8.728523,8.728523,42239567
2020-05-27,8.728523,9.040104,8.688700,8.966763,8.966763,41785374
2020-05-28,8.967983,9.156438,8.836496,9.125927,9.125927,37779765
2020-05-29,9.128027,9.323433,8.968248,9.153000,9.153000,38751375
2020-05-30,9.156447,9.565115,8.943591,9.563443,9.563443,40640907
2020-05-31,9.564548,9.580104,9.099994,9.104608,9.104608,36118222
2020-06-01,9.105623,9.560177,9.083670,9.537053,9.537053,41315760
2020-06-02,9.523518,9.947606,9.063542,9.178210,9.178210,42119022
2020-06-03,9.177299,9.326005,9.112453,9.325233,9.325233,35173441
2020-06-04,9.324182,9.565475,9.146436,9.397497,9.397497,45559341
2020-06-05,9.392587,9.470383,9.230189,9.300311,9.300311,37376038
2020-06-06,9.300311,9.399006,9.153077,9.274990,9.274990,34992490
2020-06-07,9.274990,9.318382,8.973437,9.267139,9.267139,35542444
2020-06-08,9.266455,9.275076,9.122500,9.275076,9.275076,34663415
2020-06-09,9.276685,9.393335,9.131907,9.205897,9.205897,37036802
2020-06-10,9.207349,9.517270,9.148680,9.327932,9.327932,34758754
2020-06-11,9.327998,9.356127,8.410703,8.450202,8.450202,35106994
2020-06-12,8.448302,8.759784,8.415689,8.636879,8.636879,35429006
2020-06-13,8.654129,8.827784,8.605762,8.814819,8.814819,36606419
2020-06-14,8.805490,8.861197,8.578467,8.636064,8.636064,37425629
2020-06-15,8.636064,8.736235,8.107988,8.521764,8.521764,36009307
2020-06-16,8.519709,8.715834,8.470447,8.605056,8.605056,37096103
2020-06-17,8.603058,8.707820,8.507444,8.582150,8.582150,16356255
2020-06-18,8.582150,8.685594,8.419573,8.536667,8.536667,38867060
2020-06-19,8.539491,8.628895,8.414232,8.441175,8.441175,37702917
2020-06-20,8.441175,8.616758,8.437925,8.567563,8.567563,36594571
2020-06-21,8.565960,8.679664,8.517470,8.521956,8.521956,34298770
2020-06-22,8.517075,8.814818,8.509904,8.806967,8.806967,35612425
2020-06-23,8.810952,9.423224,8.746124,9.015429,9.015429,42928203
2020-06-24,9.010087,9.086154,8.582410,8.636731,8.636731,32678376
2020-06-25,8.632595,8.651302,8.273088,8.523991,8.523991,38953008
2020-06-26,8.508436,8.550200,8.319983,8.403859,8.403859,48504169
2020-06-27,8.395798,8.451688,7.945488,8.032956,8.032956,34811050
2020-06-28,8.032956,11.443149,7.925801,10.031964,10.031964,63177219
2020-06-29,10.031964,11.281472,9.695053,10.390574,10.390574,91421914
